PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,PF/C,Cheick Diallo (11849176),Cheick Diallo,11849176,PF/C/F/UTIL,3600,NO@SAC 12/23/2018 06:00PM ET,NO,10.28
,,,,,,,,,SG/SF,Lance Stephenson (11849210),Lance Stephenson,11849210,SG/SF/F/G/UTIL,3500,MEM@LAL 12/23/2018 09:30PM ET,LAL,16.42
,,,,,,,,,SF/PF,Jaron Blossomgame (11849215),Jaron Blossomgame,11849215,SF/PF/F/UTIL,3500,CHI@CLE 12/23/2018 06:00PM ET,CLE,12.65
,,,,,,,,,SG/SF,Rodney McGruder (11849192),Rodney McGruder,11849192,SG/SF/F/G/UTIL,3500,MIA@ORL 12/23/2018 06:00PM ET,MIA,22.30
,,,,,,,,,PF/C,Dwight Powell (11849184),Dwight Powell,11849184,PF/C/F/UTIL,3500,DAL@POR 12/23/2018 09:00PM ET,DAL,17.25
,,,,,,,,,PG/SG,Jamal Crawford (11849197),Jamal Crawford,11849197,PG/SG/G/UTIL,3500,PHO@BKN 12/23/2018 06:00PM ET,PHO,14.26
,,,,,,,,,PF/C,Jonas Jerebko (11849188),Jonas Jerebko,11849188,PF/C/F/UTIL,3500,LAC@GS 12/23/2018 08:30PM ET,GS,19.01
,,,,,,,,,SF/PF,Miles Bridges (11849201),Miles Bridges,11849201,SF/PF/F/UTIL,3500,CHA@BOS 12/23/2018 06:00PM ET,CHA,16.61
,,,,,,,,,SG/SF,Iman Shumpert (11849205),Iman Shumpert,11849205,SG/SF/F/G/UTIL,3500,NO@SAC 12/23/2018 06:00PM ET,SAC,19.41
,,,,,,,,,SF/PF,Moe Harkless (11849223),Moe Harkless,11849223,SF/PF/F/UTIL,3400,DAL@POR 12/23/2018 09:00PM ET,POR,13.71
,,,,,,,,,SF/PF,Jared Dudley (11849219),Jared Dudley,11849219,SF/PF/F/UTIL,3400,PHO@BKN 12/23/2018 06:00PM ET,BKN,12.88
,,,,,,,,,PF/C,Ed Davis (11849231),Ed Davis,11849231,PF/C/F/UTIL,3400,PHO@BKN 12/23/2018 06:00PM ET,BKN,18.17
,,,,,,,,,C,Marcin Gortat (11849227),Marcin Gortat,11849227,C/UTIL,3400,LAC@GS 12/23/2018 08:30PM ET,LAC,15.42
,,,,,,,,,PG/SG,Tyrone Wallace (11849235),Tyrone Wallace,11849235,PG/SG/G/UTIL,3400,LAC@GS 12/23/2018 08:30PM ET,LAC,7.86
,,,,,,,,,SG/SF,Andre Iguodala (11849239),Andre Iguodala,11849239,SG/SF/F/G/UTIL,3400,LAC@GS 12/23/2018 08:30PM ET,GS,16.38
,,,,,,,,,C,Guillermo Hernangomez (11849229),Guillermo Hernangomez,11849229,C/UTIL,3400,CHA@BOS 12/23/2018 06:00PM ET,CHA,15.28
,,,,,,,,,SF/PF,Justin Jackson (11849244),Justin Jackson,11849244,SF/PF/F/UTIL,3400,NO@SAC 12/23/2018 06:00PM ET,SAC,13.87
,,,,,,,,,C,Ante Zizic (11849250),Ante Zizic,11849250,C/UTIL,3300,CHI@CLE 12/23/2018 06:00PM ET,CLE,8.70
,,,,,,,,,PG/SG,Cameron Payne (11849252),Cameron Payne,11849252,PG/SG/G/UTIL,3300,CHI@CLE 12/23/2018 06:00PM ET,CHI,14.03
,,,,,,,,,SG/SF,Wes Iwundu (11849256),Wes Iwundu,11849256,SG/SF/F/G/UTIL,3300,MIA@ORL 12/23/2018 06:00PM ET,ORL,9.03
,,,,,,,,,PG,Jerian Grant (11849277),Jerian Grant,11849277,PG/G/UTIL,3300,MIA@ORL 12/23/2018 06:00PM ET,ORL,13.74
,,,,,,,,,PG/SG,Wayne Ellington (11849288),Wayne Ellington,11849288,PG/SG/G/UTIL,3300,MIA@ORL 12/23/2018 06:00PM ET,MIA,16.97
,,,,,,,,,PG/SG,Devin Harris (11849261),Devin Harris,11849261,PG/SG/G/UTIL,3300,DAL@POR 12/23/2018 09:00PM ET,DAL,13.18
,,,,,,,,,PG/SG,Shabazz Napier (11849265),Shabazz Napier,11849265,PG/SG/G/UTIL,3300,PHO@BKN 12/23/2018 06:00PM ET,BKN,14.12
,,,,,,,,,SF/PF,Mike Scott (11849269),Mike Scott,11849269,SF/PF/F/UTIL,3300,LAC@GS 12/23/2018 08:30PM ET,LAC,12.76
,,,,,,,,,C,Nerlens Noel (11849273),Nerlens Noel,11849273,C/UTIL,3300,MIN@OKC 12/23/2018 08:00PM ET,OKC,16.41
,,,,,,,,,PF/C,Gorgui Dieng (11849280),Gorgui Dieng,11849280,PF/C/F/UTIL,3300,MIN@OKC 12/23/2018 08:00PM ET,MIN,13.73
,,,,,,,,,C,Kosta Koufos (11849248),Kosta Koufos,11849248,C/UTIL,3300,NO@SAC 12/23/2018 06:00PM ET,SAC,14.29
,,,,,,,,,C,Jahlil Okafor (11849275),Jahlil Okafor,11849275,C/UTIL,3300,NO@SAC 12/23/2018 06:00PM ET,NO,7.25
,,,,,,,,,PG/SG,Yogi Ferrell (11849284),Yogi Ferrell,11849284,PG/SG/G/UTIL,3300,NO@SAC 12/23/2018 06:00PM ET,SAC,10.69
,,,,,,,,,SG/SF,Wayne Selden Jr. (11849294),Wayne Selden Jr.,11849294,SG/SF/F/G/UTIL,3200,MEM@LAL 12/23/2018 09:30PM ET,MEM,10.10
,,,,,,,,,SF/PF,Omri Casspi (11849299),Omri Casspi,11849299,SF/PF/F/UTIL,3200,MEM@LAL 12/23/2018 09:30PM ET,MEM,11.62
,,,,,,,,,PG/SG,Jevon Carter (11849321),Jevon Carter,11849321,PG/SG/G/UTIL,3200,MEM@LAL 12/23/2018 09:30PM ET,MEM,8.44
,,,,,,,,,C,Robin Lopez (11849292),Robin Lopez,11849292,C/UTIL,3200,CHI@CLE 12/23/2018 06:00PM ET,CHI,11.86
,,,,,,,,,SG/SF,David Nwaba (11849303),David Nwaba,11849303,SG/SF/F/G/UTIL,3200,CHI@CLE 12/23/2018 06:00PM ET,CLE,12.49
,,,,,,,,,PF/C,Khem Birch (11849325),Khem Birch,11849325,PF/C/F/UTIL,3200,MIA@ORL 12/23/2018 06:00PM ET,ORL,6.12
,,,,,,,,,PF/C,Meyers Leonard (11849329),Meyers Leonard,11849329,PF/C/F/UTIL,3200,DAL@POR 12/23/2018 09:00PM ET,POR,13.27
,,,,,,,,,PF/C,Zach Collins (11849333),Zach Collins,11849333,PF/C/F/UTIL,3200,DAL@POR 12/23/2018 09:00PM ET,POR,16.40
,,,,,,,,,PF/C,Dirk Nowitzki (11849341),Dirk Nowitzki,11849341,PF/C/F/UTIL,3200,DAL@POR 12/23/2018 09:00PM ET,DAL,3.9
,,,,,,,,,SF/PF,Alfonzo McKinnie (11849308),Alfonzo McKinnie,11849308,SF/PF/F/UTIL,3200,LAC@GS 12/23/2018 08:30PM ET,GS,12.41
,,,,,,,,,PG/SG,Malik Monk (11849312),Malik Monk,11849312,PG/SG/G/UTIL,3200,CHA@BOS 12/23/2018 06:00PM ET,CHA,17.64
,,,,,,,,,SG/SF,Terrance Ferguson (11849316),Terrance Ferguson,11849316,SG/SF/F/G/UTIL,3200,MIN@OKC 12/23/2018 08:00PM ET,OKC,9.19
,,,,,,,,,PG/SG,Frank Mason III (11849337),Frank Mason III,11849337,PG/SG/G/UTIL,3200,NO@SAC 12/23/2018 06:00PM ET,SAC,12.23
,,,,,,,,,C,Joakim Noah (11849345),Joakim Noah,11849345,C/UTIL,3100,MEM@LAL 12/23/2018 09:30PM ET,MEM,12.03
,,,,,,,,,SG/SF,MarShon Brooks (11849347),MarShon Brooks,11849347,SG/SF/F/G/UTIL,3100,MEM@LAL 12/23/2018 09:30PM ET,MEM,10.92
,,,,,,,,,PF/C,Ivan Rabb (11849391),Ivan Rabb,11849391,PF/C/F/UTIL,3100,MEM@LAL 12/23/2018 09:30PM ET,MEM,6.93
,,,,,,,,,PF/C,Channing Frye (11849352),Channing Frye,11849352,PF/C/F/UTIL,3100,CHI@CLE 12/23/2018 06:00PM ET,CLE,6.06
,,,,,,,,,SG/SF,Nik Stauskas (11849356),Nik Stauskas,11849356,SG/SF/F/G/UTIL,3100,DAL@POR 12/23/2018 09:00PM ET,POR,12.30
,,,,,,,,,PF/C,Maxi Kleber (11849361),Maxi Kleber,11849361,PF/C/F/UTIL,3100,DAL@POR 12/23/2018 09:00PM ET,DAL,15.13
,,,,,,,,,SF/PF,Jake Layman (11849395),Jake Layman,11849395,SF/PF/F/UTIL,3100,DAL@POR 12/23/2018 09:00PM ET,POR,10.92
,,,,,,,,,PG,Quinn Cook (11849365),Quinn Cook,11849365,PG/G/UTIL,3100,LAC@GS 12/23/2018 08:30PM ET,GS,16.12
,,,,,,,,,PG,Shaun Livingston (11849368),Shaun Livingston,11849368,PG/G/UTIL,3100,LAC@GS 12/23/2018 08:30PM ET,GS,12.32
,,,,,,,,,SF/PF,Semi Ojeleye (11849371),Semi Ojeleye,11849371,SF/PF/F/UTIL,3100,CHA@BOS 12/23/2018 06:00PM ET,BOS,6.92
,,,,,,,,,PF/C,Frank Kaminsky (11849399),Frank Kaminsky,11849399,PF/C/F/UTIL,3100,CHA@BOS 12/23/2018 06:00PM ET,CHA,11.43
,,,,,,,,,SG/SF,Hamidou Diallo (11849375),Hamidou Diallo,11849375,SG/SF/F/G/UTIL,3100,MIN@OKC 12/23/2018 08:00PM ET,OKC,10.7
,,,,,,,,,PF/C,Patrick Patterson (11849380),Patrick Patterson,11849380,PF/C/F/UTIL,3100,MIN@OKC 12/23/2018 08:00PM ET,OKC,9.36
,,,,,,,,,SF/PF,Troy Williams (11849384),Troy Williams,11849384,SF/PF/F/UTIL,3100,NO@SAC 12/23/2018 06:00PM ET,SAC,12.54
,,,,,,,,,PG,Andrew Harrison (11849388),Andrew Harrison,11849388,PG/G/UTIL,3100,NO@SAC 12/23/2018 06:00PM ET,NO,7.26
,,,,,,,,,SF/PF,Yuta Watanabe (11849403),Yuta Watanabe,11849403,SF/PF/F/UTIL,3000,MEM@LAL 12/23/2018 09:30PM ET,MEM,3.92
,,,,,,,,,SG/SF,Dillon Brooks (11849407),Dillon Brooks,11849407,SG/SF/F/G/UTIL,3000,MEM@LAL 12/23/2018 09:30PM ET,MEM,12.89
,,,,,,,,,SF/PF,Chandler Parsons (11849412),Chandler Parsons,11849412,SF/PF/F/UTIL,3000,MEM@LAL 12/23/2018 09:30PM ET,MEM,9.83
,,,,,,,,,SG/SF,D.J. Stephens (11849416),D.J. Stephens,11849416,SG/SF/F/G/UTIL,3000,MEM@LAL 12/23/2018 09:30PM ET,MEM,3.5
,,,,,,,,,SF/PF,Michael Beasley (11849421),Michael Beasley,11849421,SF/PF/F/UTIL,3000,MEM@LAL 12/23/2018 09:30PM ET,LAL,6.7
,,,,,,,,,SG,Alex Caruso (11849425),Alex Caruso,11849425,SG/G/UTIL,3000,MEM@LAL 12/23/2018 09:30PM ET,LAL,0
,,,,,,,,,SG/SF,Svi Mykhailiuk (11849428),Svi Mykhailiuk,11849428,SG/SF/F/G/UTIL,3000,MEM@LAL 12/23/2018 09:30PM ET,LAL,6.54
,,,,,,,,,PF/C,Moritz Wagner (11849433),Moritz Wagner,11849433,PF/C/F/UTIL,3000,MEM@LAL 12/23/2018 09:30PM ET,LAL,6.97
,,,,,,,,,PF/C,Johnathan Williams (11849437),Johnathan Williams,11849437,PF/C/F/UTIL,3000,MEM@LAL 12/23/2018 09:30PM ET,LAL,10.38
,,,,,,,,,PG/SF,Isaac Bonga (11849441),Isaac Bonga,11849441,PG/SF/F/G/UTIL,3000,MEM@LAL 12/23/2018 09:30PM ET,LAL,4.1
,,,,,,,,,SG/SF,J.R. Smith (11849446),J.R. Smith,11849446,SG/SF/F/G/UTIL,3000,CHI@CLE 12/23/2018 06:00PM ET,CLE,14.23
,,,,,,,,,C,John Henson (11849451),John Henson,11849451,C/UTIL,3000,CHI@CLE 12/23/2018 06:00PM ET,CLE,16.02
,,,,,,,,,SF/PF,Jalen Jones (11849453),Jalen Jones,11849453,SF/PF/F/UTIL,3000,CHI@CLE 12/23/2018 06:00PM ET,CLE,6.67
,,,,,,,,,PG/SF,Denzel Valentine (11849457),Denzel Valentine,11849457,PG/SF/F/G/UTIL,3000,CHI@CLE 12/23/2018 06:00PM ET,CHI,0
,,,,,,,,,C,Cristiano Felicio (11849462),Cristiano Felicio,11849462,C/UTIL,3000,CHI@CLE 12/23/2018 06:00PM ET,CHI,8.75
,,,,,,,,,SF/PF,Chandler Hutchison (11849464),Chandler Hutchison,11849464,SF/PF/F/UTIL,3000,CHI@CLE 12/23/2018 06:00PM ET,CHI,10.70
,,,,,,,,,PG,Tyler Ulis (11849468),Tyler Ulis,11849468,PG/G/UTIL,3000,CHI@CLE 12/23/2018 06:00PM ET,CHI,0
,,,,,,,,,PG,Rawle Alkins (11849471),Rawle Alkins,11849471,PG/G/UTIL,3000,CHI@CLE 12/23/2018 06:00PM ET,CHI,6.25
,,,,,,,,,PG/SG,Antonio Blakeney (11849474),Antonio Blakeney,11849474,PG/SG/G/UTIL,3000,CHI@CLE 12/23/2018 06:00PM ET,CHI,12.92
,,,,,,,,,SG,Troy Caupain (11849478),Troy Caupain,11849478,SG/G/UTIL,3000,MIA@ORL 12/23/2018 06:00PM ET,ORL,0
,,,,,,,,,PF/C,Jarell Martin (11849481),Jarell Martin,11849481,PF/C/F/UTIL,3000,MIA@ORL 12/23/2018 06:00PM ET,ORL,6.04
,,,,,,,,,PF/C,Amile Jefferson (11849485),Amile Jefferson,11849485,PF/C/F/UTIL,3000,MIA@ORL 12/23/2018 06:00PM ET,ORL,0
,,,,,,,,,C,Timofey Mozgov (11849489),Timofey Mozgov,11849489,C/UTIL,3000,MIA@ORL 12/23/2018 06:00PM ET,ORL,0
,,,,,,,,,SG/SF,Melvin Frazier (11849491),Melvin Frazier,11849491,SG/SF/F/G/UTIL,3000,MIA@ORL 12/23/2018 06:00PM ET,ORL,0.92
,,,,,,,,,PG/SG,Isaiah Briscoe (11849496),Isaiah Briscoe,11849496,PG/SG/G/UTIL,3000,MIA@ORL 12/23/2018 06:00PM ET,ORL,3.54
,,,,,,,,,PF,Udonis Haslem (11849500),Udonis Haslem,11849500,PF/F/UTIL,3000,MIA@ORL 12/23/2018 06:00PM ET,MIA,3.08
,,,,,,,,,PF,Yante Maten (11849503),Yante Maten,11849503,PF/F/UTIL,3000,MIA@ORL 12/23/2018 06:00PM ET,MIA,0
,,,,,,,,,SG/SF,Duncan Robinson (11849506),Duncan Robinson,11849506,SG/SF/F/G/UTIL,3000,MIA@ORL 12/23/2018 06:00PM ET,MIA,3.81
,,,,,,,,,PF/C,Caleb Swanigan (11849511),Caleb Swanigan,11849511,PF/C/F/UTIL,3000,DAL@POR 12/23/2018 09:00PM ET,POR,7.08
,,,,,,,,,PG/SG,Wade Baldwin IV (11849515),Wade Baldwin IV,11849515,PG/SG/G/UTIL,3000,DAL@POR 12/23/2018 09:00PM ET,POR,3.7
,,,,,,,,,PG/SG,Anfernee Simons (11849519),Anfernee Simons,11849519,PG/SG/G/UTIL,3000,DAL@POR 12/23/2018 09:00PM ET,POR,3.45
,,,,,,,,,SG,Gary Trent Jr. (11849523),Gary Trent Jr.,11849523,SG/G/UTIL,3000,DAL@POR 12/23/2018 09:00PM ET,POR,5.17
,,,,,,,,,PG/SG,Daryl Macon (11849526),Daryl Macon,11849526,PG/SG/G/UTIL,3000,DAL@POR 12/23/2018 09:00PM ET,DAL,0
,,,,,,,,,SF/PF,Kostas Antetokounmpo (11849530),Kostas Antetokounmpo,11849530,SF/PF/F/UTIL,3000,DAL@POR 12/23/2018 09:00PM ET,DAL,0
,,,,,,,,,SG/SF,Ryan Broekhoff (11849534),Ryan Broekhoff,11849534,SG/SF/F/G/UTIL,3000,DAL@POR 12/23/2018 09:00PM ET,DAL,3.45
,,,,,,,,,C,Salah Mejri (11849539),Salah Mejri,11849539,C/UTIL,3000,DAL@POR 12/23/2018 09:00PM ET,DAL,6.12
,,,,,,,,,PF,Ray Spalding (11849541),Ray Spalding,11849541,PF/F/UTIL,3000,DAL@POR 12/23/2018 09:00PM ET,DAL,0
,,,,,,,,,PG/SG,Seth Curry (11849765),Seth Curry,11849765,PG/SG/G/UTIL,3000,DAL@POR 12/23/2018 09:00PM ET,POR,8.07
,,,,,,,,,PF/C,Ryan Anderson (11849544),Ryan Anderson,11849544,PF/C/F/UTIL,3000,PHO@BKN 12/23/2018 06:00PM ET,PHO,9.55
,,,,,,,,,SG/SF,George King (11849548),George King,11849548,SG/SF/F/G/UTIL,3000,PHO@BKN 12/23/2018 06:00PM ET,PHO,1.25
,,,,,,,,,PF/C,Eric Moreland (11849553),Eric Moreland,11849553,PF/C/F/UTIL,3000,PHO@BKN 12/23/2018 06:00PM ET,PHO,0
,,,,,,,,,PG,Jawun Evans (11849557),Jawun Evans,11849557,PG/G/UTIL,3000,PHO@BKN 12/23/2018 06:00PM ET,PHO,7.62
,,,,,,,,,PF/C,Dragan Bender (11849560),Dragan Bender,11849560,PF/C/F/UTIL,3000,PHO@BKN 12/23/2018 06:00PM ET,PHO,4.30
,,,,,,,,,PG,Elie Okobo (11849564),Elie Okobo,11849564,PG/G/UTIL,3000,PHO@BKN 12/23/2018 06:00PM ET,PHO,14.78
,,,,,,,,,PF/C,Kenneth Faried (11849567),Kenneth Faried,11849567,PF/C/F/UTIL,3000,PHO@BKN 12/23/2018 06:00PM ET,BKN,5.53
,,,,,,,,,SG/SF,Theo Pinson (11849571),Theo Pinson,11849571,SG/SF/F/G/UTIL,3000,PHO@BKN 12/23/2018 06:00PM ET,BKN,3.08
,,,,,,,,,SG/SF,Treveon Graham (11849576),Treveon Graham,11849576,SG/SF/F/G/UTIL,3000,PHO@BKN 12/23/2018 06:00PM ET,BKN,3.75
,,,,,,,,,C,Alan Williams (11849581),Alan Williams,11849581,C/UTIL,3000,PHO@BKN 12/23/2018 06:00PM ET,BKN,0
,,,,,,,,,SG/SF,Dzanan Musa (11849583),Dzanan Musa,11849583,SG/SF/F/G/UTIL,3000,PHO@BKN 12/23/2018 06:00PM ET,BKN,2.82
,,,,,,,,,SG,Troy Daniels (11849769),Troy Daniels,11849769,SG/G/UTIL,3000,PHO@BKN 12/23/2018 06:00PM ET,PHO,10.95
,,,,,,,,,SG,Jerome Robinson (11849588),Jerome Robinson,11849588,SG/G/UTIL,3000,LAC@GS 12/23/2018 08:30PM ET,LAC,4.32
,,,,,,,,,PG,Milos Teodosic (11849591),Milos Teodosic,11849591,PG/G/UTIL,3000,LAC@GS 12/23/2018 08:30PM ET,LAC,7.9
,,,,,,,,,SG/SF,Sindarius Thornwell (11849594),Sindarius Thornwell,11849594,SG/SF/F/G/UTIL,3000,LAC@GS 12/23/2018 08:30PM ET,LAC,4.52
,,,,,,,,,PF/C,Johnathan Motley (11849599),Johnathan Motley,11849599,PF/C/F/UTIL,3000,LAC@GS 12/23/2018 08:30PM ET,LAC,0
,,,,,,,,,C,Angel Delgado (11849603),Angel Delgado,11849603,C/UTIL,3000,LAC@GS 12/23/2018 08:30PM ET,LAC,0
,,,,,,,,,SF/PF,Luc Richard Mbah a Moute (11849605),Luc Richard Mbah a Moute,11849605,SF/PF/F/UTIL,3000,LAC@GS 12/23/2018 08:30PM ET,LAC,8.94
,,,,,,,,,PF/C,Jordan Bell (11849609),Jordan Bell,11849609,PF/C/F/UTIL,3000,LAC@GS 12/23/2018 08:30PM ET,GS,10.48
,,,,,,,,,SG/SF,Damion Lee (11849613),Damion Lee,11849613,SG/SF/F/G/UTIL,3000,LAC@GS 12/23/2018 08:30PM ET,GS,8.82
,,,,,,,,,C,Damian Jones (11849618),Damian Jones,11849618,C/UTIL,3000,LAC@GS 12/23/2018 08:30PM ET,GS,13.82
,,,,,,,,,SF,Marcus Derrickson (11849620),Marcus Derrickson,11849620,SF/F/UTIL,3000,LAC@GS 12/23/2018 08:30PM ET,GS,1.75
,,,,,,,,,SG/SF,Jacob Evans III (11849623),Jacob Evans III,11849623,SG/SF/F/G/UTIL,3000,LAC@GS 12/23/2018 08:30PM ET,GS,2.16
,,,,,,,,,C,Bismack Biyombo (11849628),Bismack Biyombo,11849628,C/UTIL,3000,CHA@BOS 12/23/2018 06:00PM ET,CHA,6.15
,,,,,,,,,PG/SG,Devonte' Graham (11849630),Devonte' Graham,11849630,PG/SG/G/UTIL,3000,CHA@BOS 12/23/2018 06:00PM ET,CHA,6.31
,,,,,,,,,PG,Joe Chealey (11849634),Joe Chealey,11849634,PG/G/UTIL,3000,CHA@BOS 12/23/2018 06:00PM ET,CHA,0
,,,,,,,,,SG/SF,Dwayne Bacon (11849637),Dwayne Bacon,11849637,SG/SF/F/G/UTIL,3000,CHA@BOS 12/23/2018 06:00PM ET,CHA,10.42
,,,,,,,,,SG,J.P. Macura (11849642),J.P. Macura,11849642,SG/G/UTIL,3000,CHA@BOS 12/23/2018 06:00PM ET,CHA,0
,,,,,,,,,SG/SF,Jabari Bird (11849645),Jabari Bird,11849645,SG/SF/F/G/UTIL,3000,CHA@BOS 12/23/2018 06:00PM ET,BOS,0
,,,,,,,,,PG/SG,Brad Wanamaker (11849650),Brad Wanamaker,11849650,PG/SG/G/UTIL,3000,CHA@BOS 12/23/2018 06:00PM ET,BOS,6.52
,,,,,,,,,PF/C,Guerschon Yabusele (11849654),Guerschon Yabusele,11849654,PF/C/F/UTIL,3000,CHA@BOS 12/23/2018 06:00PM ET,BOS,4.96
,,,,,,,,,PG/SG,PJ Dozier (11849658),PJ Dozier,11849658,PG/SG/G/UTIL,3000,CHA@BOS 12/23/2018 06:00PM ET,BOS,6.25
,,,,,,,,,PG/SG,Raymond Felton (11849662),Raymond Felton,11849662,PG/SG/G/UTIL,3000,MIN@OKC 12/23/2018 08:00PM ET,OKC,10.77
,,,,,,,,,SG/SF,Andre Roberson (11849666),Andre Roberson,11849666,SG/SF/F/G/UTIL,3000,MIN@OKC 12/23/2018 08:00PM ET,OKC,0
,,,,,,,,,SG/SF,Alex Abrines (11849671),Alex Abrines,11849671,SG/SF/F/G/UTIL,3000,MIN@OKC 12/23/2018 08:00PM ET,OKC,10.61
,,,,,,,,,PG/SG,Deonte Burton (11849676),Deonte Burton,11849676,PG/SG/G/UTIL,3000,MIN@OKC 12/23/2018 08:00PM ET,OKC,6.07
,,,,,,,,,PF,Abdel Nader (11849680),Abdel Nader,11849680,PF/F/UTIL,3000,MIN@OKC 12/23/2018 08:00PM ET,OKC,2.62
,,,,,,,,,PF/C,Tyler Davis (11849683),Tyler Davis,11849683,PF/C/F/UTIL,3000,MIN@OKC 12/23/2018 08:00PM ET,OKC,1.25
,,,,,,,,,SG/SF,Timothe Luwawu-Cabarrot (11849687),Timothe Luwawu-Cabarrot,11849687,SG/SF/F/G/UTIL,3000,MIN@OKC 12/23/2018 08:00PM ET,OKC,4.25
,,,,,,,,,SG/SF,James Nunnally (11849692),James Nunnally,11849692,SG/SF/F/G/UTIL,3000,MIN@OKC 12/23/2018 08:00PM ET,MIN,4.35
,,,,,,,,,SG/SF,C.J. Williams (11849697),C.J. Williams,11849697,SG/SF/F/G/UTIL,3000,MIN@OKC 12/23/2018 08:00PM ET,MIN,3.5
,,,,,,,,,PG/SG,Jerryd Bayless (11849702),Jerryd Bayless,11849702,PG/SG/G/UTIL,3000,MIN@OKC 12/23/2018 08:00PM ET,MIN,13.5
,,,,,,,,,SF/PF,Luol Deng (11849706),Luol Deng,11849706,SF/PF/F/UTIL,3000,MIN@OKC 12/23/2018 08:00PM ET,MIN,8.88
,,,,,,,,,SF/PF,Anthony Tolliver (11849710),Anthony Tolliver,11849710,SF/PF/F/UTIL,3000,MIN@OKC 12/23/2018 08:00PM ET,MIN,10.47
,,,,,,,,,PG,Jared Terrell (11849714),Jared Terrell,11849714,PG/G/UTIL,3000,MIN@OKC 12/23/2018 08:00PM ET,MIN,12.25
,,,,,,,,,SF/PF,Keita Bates-Diop (11849717),Keita Bates-Diop,11849717,SF/PF/F/UTIL,3000,MIN@OKC 12/23/2018 08:00PM ET,MIN,4.88
,,,,,,,,,SG/SF,Ben McLemore (11849721),Ben McLemore,11849721,SG/SF/F/G/UTIL,3000,NO@SAC 12/23/2018 06:00PM ET,SAC,4.38
,,,,,,,,,PF/C,Zach Randolph (11849726),Zach Randolph,11849726,PF/C/F/UTIL,3000,NO@SAC 12/23/2018 06:00PM ET,SAC,0
,,,,,,,,,SF/PF,Wenyen Gabriel (11849730),Wenyen Gabriel,11849730,SF/PF/F/UTIL,3000,NO@SAC 12/23/2018 06:00PM ET,SAC,0
,,,,,,,,,PF/C,Harry Giles (11849734),Harry Giles,11849734,PF/C/F/UTIL,3000,NO@SAC 12/23/2018 06:00PM ET,SAC,11.56
,,,,,,,,,PF/C,Skal Labissiere (11849738),Skal Labissiere,11849738,PF/C/F/UTIL,3000,NO@SAC 12/23/2018 06:00PM ET,SAC,6.97
,,,,,,,,,SG/SF,Trevon Bluiett (11849742),Trevon Bluiett,11849742,SG/SF/F/G/UTIL,3000,NO@SAC 12/23/2018 06:00PM ET,NO,0
,,,,,,,,,SG/SF,Kenrich Williams (11849747),Kenrich Williams,11849747,SG/SF/F/G/UTIL,3000,NO@SAC 12/23/2018 06:00PM ET,NO,2.78
,,,,,,,,,PG/SG,Ian Clark (11849752),Ian Clark,11849752,PG/SG/G/UTIL,3000,NO@SAC 12/23/2018 06:00PM ET,NO,8.24
,,,,,,,,,SG/SF,Wesley Johnson (11849756),Wesley Johnson,11849756,SG/SF/F/G/UTIL,3000,NO@SAC 12/23/2018 06:00PM ET,NO,9.96
,,,,,,,,,PG/SG,Frank Jackson (11849761),Frank Jackson,11849761,PG/SG/G/UTIL,3000,NO@SAC 12/23/2018 06:00PM ET,NO,6.16
