,21-11-2018;teams_700.csv,21-11-2018;teams_800.csv,21-11-2018;teams_900.csv,23-11-2018;teams_700.csv,23-11-2018;teams_800.csv,23-11-2018;teams_1200.csv,23-11-2018;teams_1030.csv,24-11-2018;teams_730.csv,24-11-2018;teams_800.csv,24-11-2018;teams_830.csv,25-11-2018;teams_330.csv,25-11-2018;teams_600.csv,25-11-2018;teams_800.csv,26-11-2018;teams_700.csv,26-11-2018;teams_800.csv,26-11-2018;teams_900.csv
0,274.25,263.5,297.5,227.5,254.75,270,249.75,314,315.25,245,297.75,290.75,207.75,306.25,284.5,195.5
1,261.5,260.25,283.5,257.75,223,259.25,243.75,296.5,293,223.5,296.25,257.5,219.25,301,279.75,207.75
2,257.5,247.75,310.25,230.25,245,251.25,229.25,286,284,253.25,312.25,324.25,240,304.75,297.5,204.5
3,269.75,244.5,288.25,215.5,234,254,216.5,303,322.25,246.5,312,268,226.25,292,302,216.75
4,302.25,217.75,293.5,272,256,259.75,216,287.5,300,262.25,263.5,268,212.75,309.75,281,186.25
5,256.5,230,299,218.25,231,276.25,234.5,291.5,282.5,236.75,292.5,254,221.75,272.25,283.5,195.25
6,261.25,226.75,315.25,228.25,225,262.75,239.75,277,323.75,262.75,291,273,237.5,292.75,292.75,222.75
7,284,240.25,280,206.75,242,238.75,234,281,306.25,270,260.75,277.5,218.75,281,297.25,218
8,276.75,248.5,306.75,246,236,256.25,233.75,294,289.5,241,286.5,291,212.25,303.25,265.25,209.5
9,274.5,279,302.5,244.5,252,256.25,212.25,314.75,300.5,231.5,277.75,301.5,234.75,285.5,276.25,230.25
10,270.5,245.25,266.5,257.5,253.5,241.5,237.25,301.25,324.75,261.75,306.75,261.25,196.25,285.5,315,209
11,275.5,242.75,307.25,232.75,257.5,248.25,204.5,308.75,283,251.75,276.5,287.5,205,300.75,278.75,231.75
12,307,250.75,279.5,218.25,233.5,259.25,211.75,281.5,295.75,264,270.25,274,255.75,272.25,294.25,221.75
13,292,252.5,268.5,249.25,233.5,244.5,205.75,285.5,307.25,231.5,275,306.5,210.25,289.5,298.5,194
14,318,278.25,285,230,201.75,256.75,200.75,303.5,290,263.25,251.25,319.25,207.75,285,296.5,210.25
15,278.75,247.75,309.75,215.75,241,236.25,236.75,293.5,314.25,275.5,284.5,281.25,216.5,279.75,301,218
16,289.75,260.75,308,230.75,212.75,250.25,206,284.25,272.5,215,265.5,244.25,242,288.5,261.25,201.5
17,263.5,269.75,306.5,221.75,209.75,247.25,231.25,305.75,296.75,263.5,281.25,311,227,299.75,283.75,200
18,250.25,247.25,302.25,271.5,237.5,246.5,216.75,309.75,328.75,253.5,277.75,295.25,220.75,280,280,222.5
19,266.75,281.5,284.75,257.25,253,259.75,206,315.5,344.5,224.5,279.75,290,182.5,278.5,260.5,212.25
20,281,257.75,305.5,218.75,237.25,245,224.5,272,291,256.25,285.25,284.75,244,300.25,310.25,203
21,279,230,301.25,244,203.75,259.75,211.25,276,296,279.5,280.75,259.25,228.5,298.25,274.75,201.25
22,257.5,265,294.75,257.25,220.75,237.5,198.5,311.75,321.25,241,283.75,307.5,230.25,280.5,289.5,213.5
23,281.5,250.5,296.5,265.25,248.5,244.5,235.5,298,333.5,257.75,287.5,259.75,234.75,290.75,282.75,208.75
24,304.5,257.5,312,242.5,264,235.75,229.5,293,280.5,253.5,282.75,292.75,186.75,284.75,293.75,187.5
25,299.25,260.5,284.25,215.25,248.25,211.75,230.75,323.25,310.75,219.25,292.25,297.5,237.5,302.75,291.75,192.75
26,265.5,236.75,289.75,225.25,214.75,253.25,224.5,306.5,313.25,275.75,295.5,254.75,216.25,295.5,262,210.25
27,299.25,240.75,316.25,244,238.5,284.25,200,306,296.5,225.5,292,277.75,264.5,293.5,296.25,200.25
28,259.75,275,307,223.75,243,262.5,205.5,310,321.5,247,299.75,323.5,246.25,310.25,264.25,199.75
29,279.5,244.5,288.5,230.25,239.25,255,224,309,290,245.5,280,318.25,198.25,287.75,279,209
30,267.5,257.5,317,286.75,233,253.25,203.5,357.25,302.75,287.25,281,292.75,223.75,332.5,275.25,205
31,265.5,255,315.5,273.25,245,234.5,190.25,294.5,286,278.5,275.75,283.5,216.75,259.5,294.5,222.5
32,276,263,285.25,213.75,244,247.75,205.25,298.5,328,248.25,296.5,267.75,232.25,286.5,314,199.75
33,289.75,282,311.25,233.5,247.25,238.5,222.25,287.5,314.25,245.75,283,293.25,226.75,293.25,274.25,221.25
34,286.5,259.5,300.5,274.25,240.25,246.75,229,297.25,316.75,232.25,299.5,326.25,253.25,264.75,273,196.5
35,301.5,293.75,254.5,238.75,253,232,222.25,291.5,298.25,231.75,259.5,278,225.75,289,296.75,201
36,299.5,246.75,301,261,241.25,245,229.5,301.25,279.5,245,267.75,262.5,259.5,273.5,278.75,208.75
37,260.25,270,296.75,260,230.75,212.25,216.25,300,311.5,253.25,294,275.5,218.5,264.75,301.25,218
38,268.25,212.25,279.25,267.5,233.5,250.75,223.5,323,327.25,263,274.5,304.25,234.5,275,297.5,193.25
39,263.25,261.75,295.75,213.75,221.25,258,224,277,303.75,269.5,301.75,299.5,192.75,287,281,245.25
40,294.75,241.25,271.75,213.5,247,284.75,195,281,279.25,260,297,274,223.25,293,257.75,190.75
41,278,247.25,321,229.75,241.75,241.5,211.25,324.25,335.75,241.25,263,262.25,221.25,283.75,278,208.75
42,279.25,242.25,292.5,237.25,232.25,243.25,218.5,267,351.5,269,306.5,276.75,242.75,300,256.5,236.75
43,257.25,245.25,286.5,224.75,222.75,247.5,202.25,334,309.75,243,291.5,289,239.5,303.25,280.25,230.25
44,251,280.25,270.75,260.5,210.75,251.5,229.25,289,334,240,294.25,284.25,210.5,298,287.75,205.5
45,263.25,220.5,273.75,260,203.25,247.25,223,293,321.75,239,248.25,301.25,225.5,286.25,261.75,231.5
46,291.25,255,309.5,285,221.75,264.75,227.25,284,280,201.5,295.25,279.5,228.25,306.75,260.25,209
47,285.75,224,293.25,237,212.25,268.75,193.5,269,327.5,228.75,282.25,311.5,204.25,291,257.25,223
48,268.75,234.5,291,272.75,204.75,260.75,228.25,288,272,268,288.5,316.5,228,306,292.25,236
49,288,254.25,306.5,263,219.75,244,214,273,311.25,247,274,296,241.5,295,280.5,221.25
50,266,245.25,282.5,251.75,240.75,244.25,189.25,281,328.25,262,310,284.25,247.75,291.75,259.5,216.5
51,286,233.5,294.5,223.5,241.5,246,209,289.5,341,209.5,287,272.25,220.75,295.75,271.25,237.5
52,273,237.5,295,289.5,216.25,229.5,215.75,358.25,299.25,270.25,297.25,285.5,222.75,267.25,289.75,227.5
53,301.25,248.25,298,240.5,255,236.75,223,301,304.25,289,273.75,285.5,226,298,309.25,216.5
54,262,244.5,290,230.75,247.25,217.75,216.25,266.5,302.25,235,281,296.5,216.25,328,273.75,195.25
55,294.25,251.75,316,241.5,251.75,256.75,217.75,270.5,297.5,256.5,282,271.5,232.25,292.75,268.25,232.75
56,304,256.75,307.25,264.25,253.75,242,194.5,313.75,335.5,238.25,275.75,252,237,310.75,292,227.25
57,270.25,259.75,294,258.5,227.25,241,223.25,324.5,310.75,221.75,258.5,285,223.5,296,262.25,218
58,262.5,233,284.25,270.75,216.5,230.25,210.25,283.5,323.5,230.5,291.25,284.75,220.25,296.75,281.75,208
59,292.25,256.25,322.25,232.5,273.5,241.5,210.75,303,302,234,278.5,249,232.25,292.5,296.5,207.5
60,269,236.25,301.5,216.5,266,226.75,218,307,274,272.25,264,271.75,231,299.5,242,202.75
61,286.75,240.75,296.5,232.5,244.5,208.75,201.75,307.5,304.25,278.5,262.5,295.75,200.25,298.25,240.75,224.25
62,272.5,266.75,311.25,240,237,210.5,189,323.5,317.75,233.25,296.5,310.25,226.25,269.75,292.75,245
63,249.75,240,317,258,264.75,243.5,195.75,282.5,293.75,262.5,255.5,282.5,244,277.25,264.5,223.75
64,266.25,205.25,301.5,225,245.5,248,221.5,327.75,304,249.5,266.25,322.5,243.75,287.75,251.75,183.5
65,284,250,293,264.25,217.25,252,205.25,301,328.5,252.25,302.75,254.25,238.75,286.25,275.5,230.25
66,291.5,243.25,300.5,262.75,227.5,270.5,222.5,331.75,287,245.5,261.5,317.75,200.25,265.25,249.5,199.75
67,265.75,215,310,225.5,262.5,247,200,308.25,262.25,239.5,277.25,261.5,236.5,295.25,291.75,207.25
68,269.75,209,279.75,274.25,255.5,249,190.75,314,312.25,233.5,301.25,313,245.5,290,290.5,215
69,266.75,266.25,305.75,263.25,242.75,281.25,208.25,318,319,229,284.25,300.25,198.25,295.5,256.25,236.5
70,250,239.5,311.75,234,248,239.75,226.75,347.75,266.25,258.5,271,262.5,209,299.25,314.25,213.5
71,277.75,227.5,289.75,262.75,262.25,269.25,205.75,272,300.25,224,278.75,343,259.75,298.75,257,204.25
72,308.25,239,280.75,215.25,218,265.5,216,284.5,334.75,213.75,295.25,295,214.25,298,271,190.5
73,275.25,259,301.5,239.75,241.5,261.25,223.25,288.5,293.75,249,246.25,321.25,277.5,300.25,294,192.5
74,293,274,316.25,258,211.75,253,193,305,248.75,266.75,314.75,319,250.5,313.75,269.75,218
75,264.25,277,286.5,213.5,235.5,231.5,198,314,325.25,254.5,290,256.75,229.5,300.25,269.5,204.5
76,262.25,278,315.25,257.75,224.5,245.5,221.25,314.25,317.25,223.5,305,330,211.75,259.25,286.5,208.75
77,282.75,257.75,266.25,226.25,253.75,263,213.5,326.5,324.5,265.25,259.75,250.5,202.5,309,293.5,216.5
78,274.75,233.75,315.5,220.75,224,244.75,222.25,290.75,307.75,270,300.25,234.75,220.5,303,255.5,223.75
79,268.75,238.5,287,264.25,253.75,220.75,196,297,318,226.25,313.25,278.75,246.75,291.25,275.75,187.25
80,283.25,231.25,276,243.25,252,196.75,200.75,297.25,328.75,282.25,261.75,305,232.5,288,229.5,198.5
81,287.75,234.5,281.5,237.75,253.5,230.75,240.25,329.25,318.75,276.75,305.5,318.25,216,311.75,275.25,216.75
82,274.75,259.5,281,232.25,223.75,242,208,272,328.5,241.5,286.75,293.25,246,311.25,274,215.25
83,302,232.75,265.25,269,252.5,242.5,216.5,302.5,251.75,256.25,277.5,249,232,300,273.25,208.75
84,259.25,236.25,262.5,244.25,222.75,227.75,232.25,295.5,286.75,278.5,297.75,305.25,261.5,296.75,297.75,184
85,317.25,249.5,293,221.25,265,245.25,234.25,300.25,307.75,244.25,292.75,272,227.75,299.5,272,216.25
86,301.75,253.75,304,231,246.5,249.5,209.75,328.75,311.5,247.5,260.25,336.75,238.25,279.5,305.25,236
87,289,249.75,304,256,218.5,214.25,216.75,303.5,324.25,259.75,294,308.75,230.5,306,279.25,214.75
88,287,288,307,244.75,235.5,247.75,213,307.5,285.5,249.5,261.75,287.75,203,288.75,277.75,214.75
89,285,238.75,268,259,223.75,240.25,221,261.5,311,211,263.25,246,218.75,288.25,277.5,220
90,275,245,272.5,254,264.75,255,229.25,315.5,335.75,255.75,268.75,300.5,235.25,277.75,277.75,210
91,301.5,257.5,259.75,235.75,252.75,223.75,220.25,319.5,294,227.75,288.5,290.75,262,252,260.5,199.5
92,260.75,245.75,295.5,251,226,246.75,211.75,278,314.75,218.25,269.75,263.25,231,306.25,284.5,227.5
93,268.75,248.75,277,219,263,240.25,188.5,284.25,323.75,245.5,285,288.5,214,260.75,248.25,201.5
94,259.25,249.75,297.25,242.5,253.75,234,217.25,288.25,306.75,272,268.75,247.5,224.75,286.75,257.5,227
95,292.25,251,292.5,260,253.5,266,193.25,290.5,301.25,234.5,291.5,295,227.5,301,298,236.25
96,298.25,263.5,284.5,237.75,229.5,225,204.75,294.5,247.5,189.25,283.5,303.75,201.5,286.25,258.25,213.5
97,304.25,256.75,310.5,225.5,238.5,253.5,222,313,295.5,284.75,275.75,333.75,186.5,284.75,256.75,201.25
98,256,244.5,280.75,206.5,231.75,207,200,329.5,305.25,214,293,296,220.25,263.75,277,201.5
99,287.75,229.75,291.25,276.25,266.5,252.5,199.5,314.75,318.25,222.25,267.25,261.75,199,303.75,264.5,222.25
,,,,,,,,,,,,,,,,
Min,249.75,205.25,254.5,206.5,201.75,196.75,188.5,261.5,247.5,189.25,246.25,234.75,182.5,252,229.5,183.5
1st Q,265.6875,238.9375,284.25,226.0625,224.375,238.6875,205.125,287.125,293.75,233,270.8125,270.625,215.5625,284.9375,264.5,201.4375
Median,276.375,248.375,295.25,241,240.5,246.75,216.25,300.125,307.5,247.25,283.25,287.625,226.25,292.75,278.75,210.25
3rd Q,290.125,259.5,306.8125,260,252.5625,256.25,224.125,313.8125,321.875,262.8125,294.5,303.875,237.5,300.25,292.75,222.3125
Max,318,293.75,322.25,289.5,273.5,284.75,249.75,358.25,351.5,289,314.75,343,277.5,332.5,315,245.25
,,,,,,,,,,,,,,,,
Cash,268.2,262.88,,,,,,,,,,,,,,
> Cash,69,19,,,,,,,,,,,,,,
Gpp,280.68,,,,,,,,,,,,,,,
> GPP,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Errors,0,0,4,0,31,0,0,0,0,0,0,0,0,0,1,0