,21-11-2018:teams_700.csv,21-11-2018:teams_800.csv,21-11-2018:teams_900.csv,23-11-2018:teams_700.csv,23-11-2018:teams_800.csv,23-11-2018:teams_1200.csv,23-11-2018:teams_1030.csv,24-11-2018:teams_730.csv,24-11-2018:teams_800.csv,24-11-2018:teams_830.csv,25-11-2018:teams_330.csv,25-11-2018:teams_600.csv,25-11-2018:teams_800.csv,26-11-2018:teams_700.csv,26-11-2018:teams_800.csv,26-11-2018:teams_900.csv
0,276.0,253.75,297.5,237.75,239.0,250.25,249.75,294.0,276.5,292.0,274.5,299.5,221.75,312.25,283.5,222.75
1,279.25,252.5,291.25,229.5,234.25,246.75,237.25,278.5,248.5,258.75,273.5,254.0,228.0,317.25,284.5,195.5
2,267.5,237.25,300.5,242.25,237.5,236.25,236.75,268.5,282.25,256.0,274.5,274.0,182.5,312.0,296.5,207.75
3,283.0,256.75,302.5,234.0,243.0,270.0,216.5,289.5,239.0,298.75,286.5,295.25,226.75,276.25,280.0,201.25
4,293.5,250.5,294.5,261.75,243.25,234.5,243.75,296.25,295.0,265.5,312.25,280.75,222.25,271.25,301.0,213.5
5,274.0,263.0,280.75,240.75,235.5,230.75,231.25,266.25,253.25,283.25,291.0,287.5,205.0,314.25,297.5,186.25
6,281.0,246.5,293.5,189.75,238.5,231.5,216.0,271.75,237.0,262.75,297.5,297.0,259.5,306.0,281.0,209.0
7,268.25,245.25,276.0,260.75,256.75,255.5,203.5,276.0,233.75,302.0,284.75,336.75,238.25,337.25,294.25,214.75
8,283.5,244.5,283.5,241.75,266.5,240.0,239.75,265.75,293.0,252.75,282.0,264.0,247.75,277.5,302.0,205.5
9,291.5,243.75,305.5,232.75,256.5,244.75,227.25,308.5,266.0,283.5,259.25,277.5,223.75,283.75,314.0,187.5
10,271.0,255.75,297.5,231.75,264.75,238.25,208.25,334.0,287.5,308.75,290.0,271.25,202.5,337.25,264.25,227.25
11,281.5,238.25,276.25,252.5,236.5,250.0,219.5,259.25,215.75,277.5,306.75,307.5,239.0,257.5,297.5,216.0
12,264.25,257.0,270.5,243.0,246.25,245.25,229.25,273.0,271.75,250.0,274.0,295.75,237.5,285.0,315.0,211.25
13,275.75,242.25,270.75,234.75,268.0,247.75,216.75,258.25,286.75,295.25,273.5,271.75,238.25,345.5,265.25,199.75
14,273.25,244.5,296.5,242.5,257.75,235.25,230.75,283.0,298.25,275.5,299.75,278.25,233.75,282.0,298.5,199.75
15,291.5,257.25,270.0,214.0,236.75,252.0,225.75,278.5,272.5,293.25,258.5,298.0,216.5,319.25,262.0,200.0
16,269.0,226.25,286.0,234.25,284.5,243.0,226.75,337.75,264.25,265.5,277.75,342.0,217.0,320.25,281.75,188.75
17,259.75,254.25,299.5,206.75,255.75,243.0,234.5,329.5,279.25,262.25,301.25,250.0,192.75,336.0,283.75,205.5
18,273.5,265.0,256.25,246.5,245.0,239.25,219.0,269.0,277.0,279.75,279.75,275.25,232.25,268.25,282.75,184.0
19,255.0,237.75,264.5,238.5,247.0,261.25,204.5,293.5,292.0,289.25,275.75,260.5,225.75,323.0,278.75,231.75
20,256.5,266.75,310.25,225.5,239.5,232.0,192.0,282.75,316.75,270.75,286.25,268.0,235.0,320.0,296.75,212.25
21,274.25,219.0,290.5,212.75,254.5,242.0,216.25,252.75,222.5,264.75,310.0,273.0,263.25,342.25,280.25,192.5
22,262.25,247.75,286.5,241.0,243.5,240.0,225.25,269.75,248.0,272.75,265.5,281.25,249.75,274.0,293.5,205.75
23,273.75,240.0,309.5,242.0,269.0,244.0,205.75,318.0,267.25,302.75,292.5,308.5,243.75,272.25,301.25,220.5
24,265.5,250.75,302.0,270.75,237.25,256.25,208.0,310.75,261.25,313.75,305.0,316.0,258.75,307.25,279.5,201.0
25,289.5,263.25,280.75,204.75,249.0,246.0,218.75,303.5,268.5,268.5,284.75,246.75,222.25,313.0,260.25,245.25
26,292.0,236.5,299.25,260.75,269.0,242.25,229.5,302.75,243.25,290.75,280.75,286.25,200.25,313.0,270.0,196.25
27,267.0,229.75,304.25,252.5,272.0,234.5,234.0,323.25,275.0,289.75,290.0,285.5,214.25,284.0,279.75,194.5
28,232.5,236.25,310.25,236.5,245.5,276.25,231.0,307.25,288.0,282.25,265.5,239.5,220.25,280.0,291.75,234.0
29,249.75,249.75,293.75,272.5,237.5,245.0,221.5,258.5,290.0,296.0,295.5,258.75,204.75,303.0,275.25,236.75
30,277.0,256.75,288.5,241.25,232.75,243.0,202.75,258.5,314.75,277.25,244.0,281.5,275.0,281.5,294.5,220.0
31,261.0,244.25,280.5,268.25,248.75,226.5,217.75,320.5,250.5,262.0,246.0,260.5,227.0,274.0,296.25,218.0
32,271.5,232.0,293.0,239.5,290.25,205.75,205.25,331.25,248.0,282.5,294.0,297.5,193.5,328.0,314.25,225.5
33,216.75,253.25,302.5,264.5,229.5,259.5,215.75,306.5,272.75,248.5,263.5,311.0,237.5,249.25,264.5,198.25
34,279.5,227.0,281.25,260.0,230.25,230.25,238.5,268.5,235.75,300.0,275.0,251.0,228.25,258.75,280.5,204.5
35,271.25,210.0,281.25,243.25,252.25,271.25,234.0,277.0,306.5,311.0,296.5,278.5,207.75,295.75,297.75,208.75
36,269.0,268.75,273.25,242.5,234.0,269.25,203.25,271.75,233.25,269.0,297.75,280.5,232.0,304.75,261.25,206.75
37,238.0,241.0,296.0,230.5,224.75,267.25,241.0,307.0,267.25,286.5,287.0,249.25,226.25,325.0,277.25,193.25
38,282.75,260.75,286.75,215.75,238.25,256.5,211.25,313.75,256.0,271.5,253.25,262.75,240.75,273.75,297.0,190.5
39,248.5,247.0,302.0,225.25,266.75,254.75,231.5,306.25,289.25,297.5,267.25,316.0,216.25,308.5,261.25,218.0
40,283.0,234.25,264.75,217.0,236.75,227.25,206.0,273.5,253.75,301.5,296.5,332.0,220.5,279.0,273.25,209.0
41,267.0,243.0,282.75,197.25,267.0,250.75,212.75,282.25,260.5,279.5,272.5,293.5,196.25,261.25,271.0,206.75
42,295.25,230.75,281.5,251.75,223.5,239.5,193.5,282.75,268.75,268.25,281.25,265.0,211.0,243.5,256.75,236.25
43,263.5,244.75,304.25,224.25,247.0,251.25,233.75,317.0,293.5,260.0,273.75,295.0,186.75,304.25,292.75,209.5
44,283.5,272.75,269.75,244.0,231.5,251.25,234.0,338.0,244.0,296.5,296.25,312.5,244.5,310.0,276.25,216.75
45,281.5,255.5,279.5,246.75,251.5,246.5,221.25,276.0,312.0,253.5,320.75,280.75,194.0,271.25,289.5,192.75
46,264.5,237.5,255.0,216.0,233.5,261.25,207.5,290.5,269.75,246.5,272.0,334.25,213.75,309.25,281.0,210.25
47,247.75,202.75,275.75,243.5,260.5,236.5,229.0,280.0,261.25,268.75,278.25,250.25,245.75,318.0,277.75,190.75
48,270.5,236.75,267.75,218.0,228.0,232.75,216.5,286.0,281.25,255.25,297.5,292.75,234.75,290.25,287.5,198.25
49,254.25,280.75,286.25,246.25,248.5,254.0,215.75,345.25,258.0,297.0,302.75,311.75,204.25,287.0,297.25,205.5
50,299.0,247.25,290.5,238.5,223.25,248.25,232.25,268.75,285.5,269.5,291.5,305.25,198.25,341.25,309.25,171.0
51,275.0,235.0,293.5,251.75,246.75,242.25,224.25,274.0,282.0,275.5,275.5,272.75,243.75,318.0,259.5,233.0
52,281.75,256.25,281.25,251.5,226.0,244.25,230.5,316.0,299.75,265.5,283.75,239.0,242.5,333.75,262.25,230.25
53,259.0,233.25,280.5,209.75,288.25,229.75,202.25,289.25,317.25,302.5,272.25,306.5,226.75,323.0,292.75,213.5
54,272.25,241.0,296.5,223.0,272.25,240.25,213.5,258.5,228.25,277.25,294.0,308.75,238.0,289.0,262.25,181.5
55,246.5,223.75,296.5,256.25,252.0,256.5,215.75,295.0,223.0,304.25,282.0,257.0,242.25,276.0,272.0,199.0
56,309.5,228.75,272.25,254.75,224.0,242.25,226.0,326.75,332.25,268.5,290.0,318.25,220.75,286.75,282.0,179.5
57,290.0,257.5,295.75,232.75,247.75,253.75,224.0,255.75,254.5,256.25,268.25,275.0,246.5,331.25,298.0,221.25
58,269.25,235.75,291.25,238.0,252.75,260.5,235.25,284.5,316.75,299.75,231.75,278.25,240.25,282.75,255.5,223.75
59,294.0,237.5,275.25,252.25,250.25,223.75,219.75,288.5,254.0,263.75,291.75,236.25,234.0,295.5,274.25,219.0
60,264.0,248.25,268.5,257.5,234.75,253.25,240.5,260.5,298.5,279.75,284.5,317.0,221.5,285.0,257.75,202.25
61,284.0,257.25,275.0,270.25,251.25,236.0,220.75,274.75,240.0,273.75,286.75,301.5,275.25,317.0,271.0,197.5
62,262.0,258.5,266.75,277.75,241.25,241.5,219.75,309.25,255.5,241.0,299.5,263.0,229.5,295.25,294.0,216.5
63,265.0,268.75,290.25,239.25,249.75,245.25,211.25,271.5,225.25,294.25,275.75,296.25,233.75,269.0,278.75,221.75
64,302.0,229.25,276.75,244.75,257.75,246.75,198.25,260.25,256.5,266.75,306.0,254.25,212.25,300.75,273.5,212.5
65,249.75,246.25,288.5,244.0,228.75,240.5,222.0,273.75,242.25,273.5,294.25,271.0,236.0,309.75,277.5,205.0
66,291.0,233.25,286.0,203.0,243.0,243.75,209.5,256.75,294.5,299.75,262.5,336.25,207.25,289.5,290.75,205.25
67,291.75,223.0,271.25,291.0,222.0,225.0,218.25,259.5,296.0,253.25,288.5,310.0,251.5,301.25,273.75,215.25
68,297.25,268.25,292.0,231.0,250.0,265.5,195.0,265.75,301.5,301.5,281.75,253.25,256.25,306.25,241.0,222.5
69,298.25,240.5,310.5,211.0,267.75,238.5,241.5,268.25,296.0,271.25,283.0,251.0,228.25,287.75,288.5,210.5
70,279.5,247.5,282.25,263.0,266.5,263.5,246.75,268.25,302.25,265.75,251.25,282.75,277.5,300.75,274.25,183.25
71,262.5,222.25,269.75,250.75,214.25,264.5,234.25,333.5,311.0,287.25,281.25,306.5,212.75,256.5,248.25,209.0
72,268.5,262.25,262.0,221.75,229.75,224.75,230.5,282.25,242.75,292.75,291.0,333.25,186.5,293.25,310.25,198.5
73,305.25,241.25,285.0,231.5,224.0,227.75,252.0,266.25,302.0,276.5,290.5,285.25,220.0,257.75,260.5,193.75
74,274.5,250.75,296.75,277.75,256.0,237.5,223.5,327.25,226.5,272.0,312.0,305.75,240.0,315.0,293.75,204.0
75,311.5,248.5,315.5,211.75,244.0,262.5,209.0,249.5,278.0,261.0,260.5,293.25,213.25,306.0,257.25,211.25
76,297.0,232.25,300.75,202.75,241.75,247.25,234.25,319.0,277.75,311.5,290.5,261.0,255.0,290.25,263.0,236.0
77,279.75,266.25,291.5,246.5,241.5,243.5,196.5,331.0,234.0,310.0,259.0,287.0,209.0,335.5,273.0,219.25
78,262.5,238.5,283.5,222.5,217.25,243.0,220.75,278.25,301.5,282.25,263.0,270.5,227.5,329.5,256.5,187.25
79,278.5,246.5,314.5,269.5,252.75,284.75,206.0,285.5,301.5,242.5,281.5,245.25,221.25,283.75,277.0,190.5
80,269.0,268.0,271.25,244.75,284.25,246.5,228.25,247.0,299.0,272.25,265.25,300.75,246.5,266.25,269.75,224.75
81,272.25,289.0,283.0,250.25,233.75,241.75,215.75,270.0,284.25,296.5,278.75,295.5,250.5,273.25,268.5,194.0
82,285.75,250.0,270.5,236.0,223.75,244.25,215.0,266.5,258.0,306.0,298.5,280.25,245.5,279.5,285.5,208.0
83,289.75,276.75,306.5,194.5,250.5,270.5,200.75,260.5,258.75,268.75,262.5,240.0,205.25,286.25,289.5,191.75
84,271.5,261.5,280.5,213.0,223.75,260.25,226.5,261.25,280.25,281.5,276.5,314.75,210.25,283.75,239.75,227.5
85,324.75,255.0,265.75,215.5,263.25,227.0,231.75,292.25,285.25,268.0,287.25,270.25,219.25,329.5,273.0,221.25
86,290.25,251.75,299.0,236.5,272.0,227.75,229.75,247.25,286.75,270.5,260.75,213.25,175.0,262.25,266.75,210.75
87,268.5,248.25,284.25,265.25,246.25,240.5,219.25,314.75,283.5,306.5,269.0,273.0,263.5,338.75,260.75,216.25
88,295.75,246.75,305.0,204.75,226.25,252.0,253.5,285.5,239.25,311.5,261.5,252.0,252.75,311.0,248.5,214.75
89,284.5,254.75,286.5,234.25,236.25,226.0,199.5,294.0,244.75,253.5,284.0,291.5,197.5,247.0,279.0,210.0
90,244.5,245.5,279.75,213.5,254.75,267.5,224.5,304.75,280.75,290.0,285.25,233.0,240.0,262.0,255.25,195.25
91,267.25,221.0,265.0,243.5,238.5,247.0,212.25,292.0,253.0,247.75,279.25,235.0,218.75,257.5,274.5,199.5
92,307.5,224.25,285.75,224.0,242.75,250.25,213.0,329.25,253.25,264.5,280.5,231.0,206.75,302.75,291.75,237.5
93,272.75,239.75,304.25,268.75,228.5,251.5,223.25,265.75,246.5,330.5,315.25,256.25,209.75,307.0,286.5,218.0
94,261.0,254.0,280.0,251.5,245.0,214.25,198.5,284.5,217.75,306.5,275.75,278.25,188.0,306.5,274.75,218.0
95,292.0,235.75,277.0,251.25,254.0,237.5,186.0,250.25,247.5,283.0,277.25,316.5,238.0,300.5,242.0,198.75
96,262.0,235.5,262.25,260.0,258.75,246.0,200.75,288.0,289.75,317.0,269.0,253.25,232.0,309.0,275.25,184.0
97,312.25,223.5,291.25,237.75,264.5,249.0,226.0,271.75,250.5,268.25,282.25,248.0,200.25,330.75,270.0,208.75
98,256.0,262.75,310.0,228.75,237.25,228.5,236.75,251.0,306.75,262.75,273.75,272.0,207.75,261.0,286.75,192.0
99,280.5,259.75,309.25,248.5,218.0,248.5,210.25,303.0,284.25,282.5,260.0,281.75,252.0,333.0,238.75,196.25
