,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv
0,257.0,307.5,198.5,227.25,265.25,274.75,304.25,239.5,307.5,243.25,298.25,297.5,343.75,290.75,281.5
1,248.25,280.5,195.5,227.0,282.0,254.5,307.25,286.75,301.0,241.5,266.75,303.0,320.5,264.0,280.0
2,294.5,285.75,166.5,277.0,279.25,241.25,308.5,253.75,292.0,227.75,297.5,275.0,307.5,294.25,258.75
3,314.75,277.25,232.5,252.5,252.0,264.0,282.0,256.25,272.25,231.25,275.75,302.5,306.75,261.75,257.75
4,271.5,291.25,199.5,291.5,289.25,247.5,295.25,254.5,292.75,238.75,281.5,280.5,285.75,278.0,252.75
5,292.0,284.0,207.0,248.5,248.0,278.5,274.25,273.25,293.75,249.5,282.0,288.25,297.25,281.5,271.5
6,271.25,302.5,206.75,278.0,282.75,239.0,269.5,253.0,285.5,272.25,266.0,305.75,294.25,254.75,295.25
7,273.25,290.5,208.75,231.75,272.25,274.25,282.25,228.0,300.75,235.0,275.75,264.75,351.75,242.5,310.0
8,259.75,246.75,236.5,280.5,265.0,274.5,286.0,206.75,289.5,236.25,285.5,293.25,312.0,260.5,269.5
9,235.5,309.5,214.75,258.0,274.75,261.25,290.0,246.5,285.0,235.75,299.5,296.5,327.25,238.75,262.5
10,229.75,278.25,244.25,260.0,265.0,283.25,262.75,232.24,279.75,212.0,269.5,260.5,287.0,278.75,248.75
11,285.25,264.0,203.25,235.0,281.25,279.5,273.75,240.0,301.0,246.75,300.5,318.75,309.25,272.75,295.25
12,299.75,267.5,182.75,251.75,261.25,229.0,321.75,264.75,280.0,245.0,260.5,279.75,315.75,246.25,281.25
13,281.5,281.75,180.75,250.75,257.25,268.5,274.75,244.5,300.25,223.0,286.25,297.5,288.25,315.5,283.0
14,292.75,272.75,210.75,301.75,249.0,289.0,290.0,232.0,280.5,235.5,283.5,253.25,279.5,279.5,269.25
15,285.0,310.75,192.75,276.25,279.75,244.0,262.25,298.75,290.75,213.25,279.25,262.5,265.25,292.75,277.0
16,281.75,267.75,223.5,277.25,281.0,277.75,290.5,221.75,295.5,224.75,294.0,289.5,308.25,283.0,274.75
17,296.75,302.0,212.25,251.0,277.5,244.0,278.75,279.0,289.0,240.75,303.0,301.25,314.5,277.25,251.75
18,273.5,277.5,218.25,246.0,275.75,266.0,287.75,237.25,332.5,232.5,284.5,265.25,312.0,299.25,289.0
19,276.5,283.75,206.25,302.5,268.25,285.0,298.75,266.0,259.5,249.25,258.25,291.5,335.75,249.75,280.75
20,254.0,265.25,219.75,248.5,280.0,274.75,285.5,231.0,286.5,237.0,272.25,290.25,322.0,282.5,315.75
21,305.25,282.25,216.75,311.25,271.5,243.5,268.25,241.0,264.75,223.75,303.75,308.25,263.25,282.75,281.75
22,264.25,276.0,202.0,261.75,262.0,303.0,249.5,244.0,264.75,242.25,321.25,286.5,318.25,260.0,218.25
23,271.25,258.5,223.0,295.0,275.0,250.25,296.5,242.5,287.0,267.0,272.25,273.0,291.25,297.0,280.25
24,291.75,266.0,200.5,255.75,293.75,259.0,266.5,288.75,293.0,253.0,277.25,271.25,310.75,313.75,290.5
25,285.25,283.5,210.5,297.0,270.75,244.5,293.75,220.25,282.5,239.5,289.5,338.75,301.75,286.5,280.75
26,224.0,289.25,218.75,272.25,242.5,303.0,285.75,234.25,306.75,246.75,292.5,292.25,299.25,301.25,312.0
27,251.0,267.25,226.25,281.25,272.0,268.25,313.0,268.75,298.0,246.5,281.25,272.5,321.25,253.0,306.75
28,292.75,318.0,218.25,295.0,281.0,288.25,274.5,251.75,328.0,262.0,281.5,320.5,312.5,277.25,276.25
29,206.0,293.0,206.25,280.75,274.25,255.25,295.5,266.0,310.75,222.0,291.5,271.5,282.25,205.75,302.5
30,266.5,292.75,162.25,280.0,267.0,278.0,293.5,254.5,292.5,233.75,286.75,275.5,305.0,317.0,295.25
31,270.75,282.0,191.25,251.5,271.25,288.25,307.25,277.24,275.25,243.0,280.5,315.0,303.5,245.25,246.25
32,249.75,299.5,209.25,261.5,241.5,238.5,303.75,223.0,266.5,248.0,276.5,315.25,310.5,272.75,245.5
33,290.75,289.75,173.0,318.5,270.5,247.25,262.25,238.5,290.0,224.75,308.5,277.0,306.5,246.25,239.75
34,268.25,266.0,174.5,261.25,295.5,270.25,340.75,237.0,295.5,238.5,273.75,261.5,312.75,225.5,287.75
35,284.0,292.0,228.0,305.0,244.75,252.25,286.0,264.25,299.25,271.25,305.75,279.0,295.0,224.75,281.5
36,310.0,292.25,148.0,289.75,262.25,270.5,292.25,252.75,273.75,253.75,303.5,287.25,278.25,250.75,271.25
37,272.5,283.0,226.25,280.5,281.75,249.0,262.5,254.0,300.25,203.0,282.75,259.25,333.0,314.0,250.25
38,263.75,309.25,180.5,274.5,275.5,285.75,290.0,230.75,259.25,229.25,261.75,280.75,304.25,277.0,247.5
39,286.75,277.0,197.5,276.75,271.25,247.0,283.75,234.0,303.0,256.25,270.0,292.5,291.0,258.25,286.25
40,241.25,277.0,199.75,273.5,250.0,268.0,276.0,265.5,311.25,226.25,294.5,281.5,296.75,274.0,309.0
41,261.5,305.0,194.0,258.75,259.5,258.25,291.0,213.5,280.75,263.25,274.75,287.0,263.25,283.25,259.0
42,288.5,292.5,202.5,287.75,283.0,270.75,280.25,227.5,290.0,246.25,270.25,263.5,277.5,278.0,252.0
43,305.25,309.25,249.75,248.25,264.5,239.0,327.25,237.75,283.5,246.0,245.75,260.25,310.0,230.0,264.25
44,259.0,283.25,204.25,234.25,279.0,237.25,301.0,221.25,252.0,221.5,281.75,320.0,377.75,273.5,272.75
45,249.75,251.5,203.75,228.25,267.0,275.5,294.25,267.25,306.25,198.0,301.75,263.5,256.5,287.25,259.0
46,252.25,234.0,206.0,248.75,227.25,278.5,297.5,271.75,301.0,219.75,287.5,310.5,315.5,227.0,266.75
47,278.25,274.25,236.0,254.5,260.75,286.0,254.0,279.25,262.5,253.25,297.0,252.0,281.25,229.5,295.25
48,281.75,282.0,180.75,266.75,224.5,255.75,307.5,258.5,303.5,226.25,293.25,315.25,302.25,250.75,248.0
49,297.75,298.0,230.75,292.75,290.75,263.0,286.5,280.0,283.5,251.75,266.75,282.5,288.75,239.0,286.0
50,279.0,293.75,180.5,277.75,282.75,272.5,288.0,263.0,274.25,228.0,286.5,310.75,313.25,255.25,260.75
51,287.0,293.25,202.0,232.0,280.0,264.0,258.25,264.0,276.0,249.25,297.25,272.25,349.5,241.75,272.25
52,206.0,292.75,183.75,302.5,257.0,290.25,257.0,277.0,297.5,231.5,268.0,238.0,328.25,270.5,281.75
53,272.25,302.75,177.5,275.5,257.75,306.0,282.5,238.25,280.0,219.75,258.0,310.75,306.5,312.25,253.5
54,258.5,250.0,214.5,255.0,272.25,295.25,277.5,284.75,317.75,231.5,265.75,264.25,313.5,264.0,276.5
55,285.5,261.5,182.75,263.75,250.75,260.75,289.0,227.74,268.25,233.75,273.0,259.25,289.5,252.25,290.75
56,278.75,244.0,214.5,279.75,272.5,264.5,290.25,231.25,306.25,230.25,294.5,288.75,326.0,293.5,257.0
57,292.0,237.5,182.25,256.25,235.75,277.5,268.0,211.75,265.5,257.75,280.75,255.25,294.0,231.25,247.75
58,280.0,295.0,176.25,229.25,262.25,286.5,292.25,257.75,289.75,223.0,303.25,287.75,309.0,262.75,242.75
59,284.25,245.5,235.5,253.25,270.5,289.75,294.25,289.0,293.0,226.5,276.5,289.75,320.0,213.75,284.75
60,270.25,315.0,212.0,325.75,260.0,259.0,321.25,255.0,282.5,258.75,286.0,277.5,309.5,285.0,260.75
61,220.0,281.75,229.25,246.75,275.5,296.5,287.5,216.0,256.25,227.25,295.5,265.5,332.75,310.75,244.0
62,300.5,272.5,158.25,240.0,260.5,286.0,277.0,240.5,296.5,261.25,267.5,288.25,294.0,242.25,248.75
63,259.0,280.5,209.0,284.0,264.75,297.75,278.25,228.5,298.5,248.0,263.75,291.5,306.25,269.5,256.5
64,229.0,265.5,193.5,249.25,263.75,265.5,332.75,249.5,277.0,204.25,292.75,287.75,291.0,301.25,250.0
65,287.5,279.75,223.5,304.75,260.25,265.75,270.0,244.0,300.75,230.5,312.25,252.25,337.0,304.75,312.5
66,240.5,241.0,226.0,320.75,219.0,261.25,292.0,259.75,299.75,273.5,242.0,271.75,280.25,287.0,283.5
67,231.0,285.25,200.5,276.5,238.25,296.0,285.25,225.5,291.25,227.5,284.5,282.25,267.75,318.25,245.25
68,282.25,269.0,214.75,264.0,248.75,265.0,270.75,254.0,291.75,231.0,261.5,295.75,344.0,284.0,283.5
69,287.5,324.25,175.5,270.5,230.25,243.25,288.25,240.0,296.0,241.75,291.0,274.25,291.75,312.25,268.25
70,255.75,267.75,183.75,213.75,273.0,274.75,291.0,277.5,278.5,249.75,283.5,257.0,298.0,269.25,276.0
71,278.25,267.25,174.0,270.25,275.25,272.75,251.25,225.25,266.0,226.5,303.5,246.25,331.5,264.25,242.5
72,287.75,275.5,229.75,249.75,277.0,282.5,272.75,264.75,255.5,221.25,282.25,276.5,324.75,233.5,297.0
73,248.75,271.0,189.75,237.25,251.75,258.25,269.0,242.0,249.75,229.5,280.25,273.25,329.5,242.75,225.0
74,302.75,222.25,210.0,282.0,280.5,258.25,307.0,230.75,275.0,231.5,262.25,252.75,306.75,304.75,262.25
75,257.5,285.25,173.5,232.5,271.0,264.5,307.75,218.75,281.0,245.5,273.0,258.5,348.5,273.5,273.0
76,241.75,272.5,213.25,247.0,276.5,265.0,279.0,259.25,252.75,259.0,268.75,252.25,295.0,253.5,311.5
77,273.0,228.75,225.75,237.5,260.0,259.75,283.75,288.75,304.5,213.75,289.5,316.75,360.0,338.25,263.75
78,252.25,245.25,249.75,270.75,272.0,267.25,296.5,291.24,286.75,211.75,311.5,230.5,272.25,298.0,227.5
79,293.5,285.0,217.75,241.25,230.75,267.25,268.0,269.75,309.0,249.25,276.75,300.0,265.5,253.75,284.25
80,248.75,262.0,233.25,280.25,236.5,235.5,310.5,260.25,263.5,207.5,272.75,316.0,290.0,231.0,283.25
81,245.25,283.75,213.5,248.75,284.25,295.0,299.5,216.25,276.25,237.0,252.25,276.75,307.75,261.5,297.75
82,267.5,265.5,194.25,270.25,264.0,271.5,308.5,275.0,248.0,229.25,284.0,284.5,305.0,246.0,245.0
83,262.5,290.75,193.5,224.25,245.0,275.25,262.25,225.5,291.0,230.75,299.5,273.75,294.5,316.75,233.25
84,287.25,303.75,166.75,279.5,226.75,265.75,268.0,275.25,292.5,231.5,252.75,325.75,286.5,242.75,235.75
85,264.0,272.75,210.25,288.0,269.25,267.25,294.25,263.75,278.5,235.25,303.5,268.0,283.5,257.5,264.75
86,298.75,281.0,183.75,241.0,252.0,293.5,268.0,217.75,273.25,234.0,273.5,262.75,341.25,237.75,304.75
87,260.5,228.5,171.0,277.75,291.75,252.5,243.0,228.0,300.25,249.25,309.25,270.75,297.75,250.0,255.5
88,285.0,271.75,183.75,253.5,241.25,272.75,272.0,242.25,267.0,232.75,259.25,288.0,313.5,294.25,267.0
89,294.25,264.75,233.75,249.0,274.0,292.0,282.75,231.75,291.25,229.25,270.0,291.0,344.5,246.75,274.75
90,266.25,271.25,228.25,238.5,259.75,264.25,330.25,220.0,276.25,274.25,252.0,301.5,285.0,311.0,310.25
91,275.75,272.75,181.5,278.25,254.75,276.0,297.25,204.5,292.25,272.5,284.25,294.75,338.25,279.5,258.25
92,242.5,276.0,198.75,235.0,267.25,262.0,294.25,268.0,292.5,247.5,252.5,286.0,297.0,277.25,300.0
93,267.0,275.0,220.25,263.25,240.25,304.75,276.5,253.0,272.5,269.25,296.75,269.0,301.75,275.0,268.0
94,276.75,259.0,246.0,301.75,266.25,270.25,309.25,282.75,281.75,232.5,295.75,273.75,328.5,284.75,285.5
95,246.0,266.75,170.0,246.25,255.0,251.75,302.5,224.0,299.25,222.75,295.5,258.5,291.75,283.75,256.5
96,255.5,304.0,222.0,255.5,262.75,287.5,300.25,243.0,314.75,227.75,308.5,288.5,294.75,267.5,289.0
97,280.75,280.75,208.5,254.75,260.75,311.0,297.0,228.5,338.25,217.0,246.75,258.25,317.25,236.5,236.5
98,282.75,287.25,210.0,246.75,272.75,252.5,296.0,228.0,300.25,236.0,281.75,286.0,262.0,253.25,245.0
99,277.25,294.5,237.75,268.75,246.5,242.75,266.5,217.25,290.0,224.5,280.75,298.25,300.5,224.75,285.5
