,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv
0,276.0,237.75,312.25,0.0
1,0.0,242.25,312.0,0.0
2,0.0,261.75,0.0,0.0
3,274.0,189.75,271.25,0.0
4,0.0,0.0,314.25,317.5
5,0.0,0.0,306.0,0.0
6,271.0,231.75,337.25,0.0
7,0.0,0.0,277.5,0.0
8,275.75,243.0,283.75,0.0
9,0.0,242.5,257.5,0.0
10,0.0,214.0,345.5,285.75
11,259.75,206.75,320.25,0.0
12,273.5,246.5,336.0,0.0
13,0.0,212.75,268.25,0.0
14,0.0,0.0,323.0,0.0
15,0.0,0.0,342.25,0.0
16,0.0,270.75,0.0,0.0
17,232.5,260.75,307.25,0.0
18,279.5,0.0,313.0,0.0
19,0.0,272.5,284.0,0.0
20,282.75,0.0,303.0,0.0
21,248.5,239.5,280.0,0.0
22,283.0,268.25,281.5,0.0
23,267.0,243.25,258.75,0.0
24,0.0,242.5,295.75,312.5
25,264.5,215.75,304.75,289.0
26,0.0,197.25,273.75,263.25
27,0.0,246.75,261.25,275.0
28,259.0,0.0,243.5,0.0
29,0.0,218.0,310.0,0.0
30,272.25,251.75,271.25,0.0
31,0.0,0.0,290.25,0.0
32,0.0,0.0,287.0,313.25
33,0.0,223.0,341.25,265.75
34,0.0,0.0,0.0,0.0
35,291.0,0.0,331.25,321.75
36,297.25,0.0,282.75,0.0
37,298.25,257.5,285.0,0.0
38,305.25,0.0,295.25,0.0
39,297.0,244.0,317.0,0.0
40,0.0,244.75,289.5,0.0
41,0.0,0.0,301.25,0.0
42,272.25,211.0,287.75,0.0
43,0.0,0.0,300.75,0.0
44,290.25,0.0,256.5,308.25
45,268.5,221.75,293.25,0.0
46,272.75,231.5,257.75,0.0
47,261.0,277.75,290.25,291.0
48,0.0,211.75,335.5,0.0
49,0.0,202.75,329.5,0.0
50,261.75,0.0,283.75,333.25
51,0.0,222.5,273.25,0.0
52,254.75,244.75,0.0,0.0
53,255.25,0.0,329.5,0.0
54,274.5,204.75,286.25,0.0
55,0.0,213.5,311.0,0.0
56,248.75,0.0,262.0,0.0
57,0.0,224.0,330.75,0.0
58,294.25,251.5,261.0,0.0
59,308.75,0.0,333.0,251.5
60,0.0,0.0,283.0,0.0
61,289.0,246.5,260.25,0.0
62,266.25,238.5,324.25,0.0
63,273.75,0.0,356.5,0.0
64,262.5,0.0,301.75,297.5
65,267.75,223.75,316.5,0.0
66,289.25,228.0,297.25,0.0
67,0.0,218.75,328.25,0.0
68,0.0,0.0,307.75,262.75
69,0.0,196.25,294.5,0.0
70,276.5,0.0,270.75,0.0
71,0.0,229.5,306.0,278.25
72,0.0,210.0,307.25,0.0
73,253.0,278.75,348.0,0.0
74,0.0,201.5,340.5,0.0
75,215.0,228.5,341.5,0.0
76,0.0,224.75,320.25,0.0
77,286.25,0.0,346.5,0.0
78,276.0,263.0,0.0,0.0
79,229.0,0.0,320.75,310.75
80,0.0,0.0,282.0,0.0
81,261.0,209.5,294.5,0.0
82,0.0,230.0,252.0,0.0
83,0.0,0.0,282.25,0.0
84,287.0,0.0,299.0,0.0
85,254.0,0.0,271.5,0.0
86,0.0,0.0,264.75,0.0
87,0.0,0.0,0.0,0.0
88,254.0,228.0,350.25,285.75
89,0.0,0.0,303.5,0.0
90,284.25,222.5,308.75,0.0
91,0.0,0.0,0.0,0.0
92,0.0,231.5,0.0,0.0
93,271.25,0.0,299.25,0.0
94,304.75,249.0,321.5,0.0
95,0.0,273.0,322.75,305.25
96,260.25,0.0,282.25,325.0
97,247.5,0.0,313.0,262.5
98,275.75,0.0,286.5,0.0
99,0.0,266.5,334.0,0.0
100,290.25,0.0,302.75,271.75
101,244.25,256.0,284.75,0.0
102,0.0,211.25,276.75,0.0
103,0.0,0.0,343.25,310.0
104,257.75,0.0,332.0,0.0
105,254.5,222.5,317.75,0.0
106,280.0,233.75,316.5,0.0
107,259.5,254.25,263.25,0.0
108,0.0,257.75,286.5,0.0
109,295.0,256.75,356.0,0.0
110,0.0,0.0,258.75,0.0
111,274.0,0.0,274.25,244.0
112,0.0,229.5,312.25,256.75
113,262.25,0.0,288.0,0.0
114,0.0,222.0,0.0,0.0
115,0.0,0.0,315.25,0.0
116,259.5,0.0,273.0,281.0
117,279.5,210.25,317.5,0.0
118,0.0,243.0,275.5,0.0
119,236.0,205.0,0.0,0.0
120,0.0,0.0,0.0,0.0
121,0.0,270.0,260.0,0.0
122,267.0,235.25,272.5,319.25
123,256.25,222.5,244.0,270.0
124,0.0,237.75,328.25,0.0
125,260.5,0.0,259.0,306.75
126,287.5,0.0,308.75,285.25
127,248.75,242.25,266.75,275.25
128,0.0,229.5,269.5,0.0
129,0.0,0.0,274.75,0.0
130,232.75,0.0,309.5,0.0
131,256.0,0.0,302.0,0.0
132,0.0,215.75,296.0,0.0
133,0.0,205.0,295.5,0.0
134,0.0,284.0,0.0,0.0
135,256.5,236.25,0.0,0.0
136,0.0,238.25,243.5,0.0
137,0.0,238.0,310.0,0.0
138,0.0,292.25,296.75,0.0
139,260.25,212.25,263.5,0.0
140,254.0,242.75,282.75,0.0
141,285.0,0.0,290.25,300.75
142,294.0,0.0,287.5,0.0
143,298.25,0.0,236.25,0.0
144,256.0,0.0,271.25,0.0
145,241.5,0.0,344.25,0.0
146,0.0,0.0,309.0,268.75
147,274.0,0.0,266.5,277.75
148,298.5,287.25,322.5,0.0
149,0.0,228.0,287.5,0.0
150,243.75,240.75,307.25,0.0
151,272.0,0.0,309.5,0.0
152,260.75,0.0,331.0,0.0
153,279.5,0.0,319.0,324.75
154,277.25,209.25,299.0,0.0
155,255.0,0.0,279.75,0.0
156,0.0,220.0,288.25,281.0
157,270.75,0.0,314.75,0.0
158,283.25,0.0,310.75,0.0
159,248.25,250.0,309.25,0.0
160,252.5,262.75,326.5,0.0
161,279.75,0.0,298.75,304.0
162,0.0,263.25,363.25,264.0
163,0.0,273.25,272.5,0.0
164,250.75,0.0,255.5,0.0
165,0.0,257.0,304.75,0.0
166,0.0,0.0,310.75,0.0
167,0.0,0.0,293.0,0.0
168,0.0,228.5,316.0,299.25
169,285.5,0.0,324.0,0.0
170,287.25,0.0,317.5,275.5
171,217.75,0.0,0.0,327.0
172,285.5,0.0,248.25,0.0
173,255.25,0.0,307.5,0.0
174,276.25,280.25,288.5,0.0
175,0.0,0.0,283.5,0.0
176,272.25,247.75,0.0,0.0
177,0.0,203.75,266.0,0.0
178,298.25,210.75,286.0,0.0
179,0.0,0.0,282.0,278.0
180,261.5,0.0,295.5,314.25
181,291.5,0.0,0.0,314.75
182,0.0,223.25,322.75,261.75
183,236.5,242.5,274.5,0.0
184,0.0,265.5,305.25,0.0
185,241.0,217.75,276.75,279.0
186,264.5,201.0,314.25,0.0
187,248.25,0.0,270.5,293.5
188,0.0,233.0,266.75,0.0
189,0.0,233.75,272.0,297.75
190,0.0,0.0,249.5,334.5
191,239.0,253.5,275.0,0.0
192,0.0,0.0,0.0,0.0
193,242.75,222.5,293.75,0.0
194,0.0,0.0,262.25,0.0
195,0.0,0.0,282.25,0.0
196,0.0,0.0,274.5,0.0
197,0.0,0.0,308.75,0.0
198,278.0,214.25,306.75,0.0
199,295.0,235.0,300.25,0.0
200,254.0,216.5,272.5,0.0
201,266.75,234.0,282.5,0.0
202,0.0,0.0,305.5,0.0
203,242.25,266.0,316.5,276.5
204,0.0,258.0,303.25,0.0
205,0.0,0.0,320.25,281.0
206,268.25,260.25,293.0,0.0
207,299.0,0.0,325.5,248.5
208,265.75,277.25,316.25,0.0
209,249.25,0.0,0.0,0.0
210,262.75,206.0,324.5,288.75
211,0.0,0.0,246.5,0.0
212,0.0,235.25,0.0,0.0
213,306.5,0.0,291.25,0.0
214,252.5,225.75,290.25,0.0
215,0.0,0.0,326.25,287.5
216,278.0,233.25,321.0,297.75
217,278.25,0.0,299.25,0.0
218,274.25,245.0,285.0,0.0
219,0.0,0.0,0.0,0.0
220,289.0,230.75,286.75,0.0
221,282.0,0.0,292.25,0.0
222,249.5,227.0,297.75,0.0
223,0.0,253.0,241.75,0.0
224,0.0,242.25,270.5,266.5
225,290.0,234.0,256.75,0.0
226,278.75,238.5,300.75,0.0
227,283.25,239.25,328.0,290.0
228,0.0,247.5,300.25,0.0
229,0.0,279.75,304.75,285.25
230,0.0,227.25,0.0,0.0
231,0.0,0.0,314.5,0.0
232,287.75,238.25,245.5,0.0
233,0.0,245.5,279.0,264.0
234,0.0,218.25,304.0,240.5
235,305.75,230.5,234.25,0.0
236,275.25,229.75,0.0,292.0
237,279.0,271.75,258.5,0.0
238,265.5,219.25,264.5,0.0
239,265.75,0.0,311.25,309.25
240,0.0,207.75,336.25,306.75
241,287.5,0.0,269.75,0.0
242,0.0,0.0,219.0,0.0
243,285.75,0.0,243.0,0.0
244,285.5,240.5,296.25,0.0
245,0.0,232.75,0.0,0.0
246,0.0,0.0,314.5,292.5
247,237.0,0.0,271.25,301.25
248,280.5,239.75,300.75,0.0
249,0.0,0.0,278.5,0.0
