,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv
0,253.75,239.0,0.0,0.0,219.75,0.0,241.0
1,0.0,0.0,258.25,0.0,0.0,315.0,221.75
2,280.75,0.0,0.0,0.0,220.75,0.0,236.5
3,235.75,0.0,0.0,345.75,268.75,0.0,248.0
4,222.0,254.25,319.0,238.5,174.75,0.0,206.25
5,0.0,0.0,0.0,314.5,243.25,0.0,0.0
6,254.0,0.0,0.0,0.0,0.0,0.0,0.0
7,234.0,0.0,279.0,0.0,0.0,0.0,0.0
8,237.75,0.0,0.0,275.0,0.0,289.75,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,249.25
10,0.0,0.0,327.75,221.0,256.75,0.0,0.0
11,0.0,236.0,0.0,247.0,242.0,0.0,0.0
12,288.25,237.75,0.0,0.0,278.0,0.0,268.5
13,277.0,0.0,315.25,301.25,224.0,0.0,0.0
14,0.0,0.0,0.0,266.75,225.0,229.25,0.0
15,0.0,0.0,0.0,266.75,0.0,0.0,0.0
16,227.25,0.0,0.0,245.0,217.75,0.0,0.0
17,0.0,0.0,0.0,0.0,232.75,272.5,0.0
18,0.0,0.0,0.0,0.0,240.5,0.0,0.0
19,0.0,0.0,0.0,263.75,186.25,0.0,259.0
20,254.0,0.0,308.0,230.25,220.5,0.0,0.0
21,0.0,0.0,0.0,0.0,215.5,256.75,0.0
22,0.0,0.0,316.25,0.0,0.0,0.0,0.0
23,0.0,0.0,268.25,300.75,235.5,0.0,0.0
24,0.0,238.0,348.25,256.5,0.0,357.0,231.25
25,0.0,224.75,0.0,277.25,239.5,0.0,0.0
26,250.5,282.75,0.0,331.0,272.25,284.5,0.0
27,246.5,251.0,321.75,0.0,0.0,0.0,0.0
28,259.5,0.0,0.0,0.0,216.5,320.75,0.0
29,207.25,0.0,0.0,249.75,287.5,304.75,232.75
30,0.0,0.0,0.0,0.0,252.75,0.0,223.5
31,254.25,0.0,0.0,256.0,0.0,0.0,293.5
32,252.5,0.0,270.5,295.5,0.0,0.0,219.5
33,263.5,0.0,0.0,271.5,254.75,316.0,253.5
34,0.0,238.5,0.0,257.5,0.0,320.75,197.5
35,240.0,0.0,0.0,0.0,209.0,311.5,0.0
36,0.0,0.0,0.0,0.0,251.5,0.0,0.0
37,199.5,0.0,316.0,0.0,189.5,0.0,235.5
38,288.0,0.0,0.0,271.0,257.25,0.0,0.0
39,0.0,275.25,0.0,285.0,235.5,259.25,0.0
40,239.5,0.0,0.0,286.0,243.0,0.0,232.0
41,0.0,0.0,274.5,316.75,271.75,0.0,0.0
42,0.0,0.0,0.0,294.75,206.25,0.0,291.0
43,224.5,271.25,0.0,244.25,209.25,0.0,0.0
44,216.5,0.0,257.5,270.25,224.75,0.0,0.0
45,0.0,250.5,286.0,295.5,211.0,255.25,220.75
46,0.0,0.0,265.0,0.0,0.0,0.0,0.0
47,254.0,0.0,293.5,0.0,234.5,260.0,286.25
48,0.0,0.0,0.0,305.5,242.5,0.0,195.75
49,0.0,304.5,285.75,315.0,222.0,280.5,0.0
50,225.0,228.75,0.0,0.0,0.0,0.0,0.0
51,239.25,0.0,0.0,0.0,246.75,327.75,0.0
52,0.0,0.0,307.75,0.0,0.0,0.0,0.0
53,0.0,0.0,295.5,276.5,226.75,289.75,235.25
54,0.0,271.25,0.0,284.75,274.5,301.5,258.75
55,0.0,252.0,0.0,304.0,0.0,0.0,250.75
56,0.0,0.0,0.0,0.0,243.0,0.0,212.5
57,239.25,224.5,0.0,285.25,261.75,0.0,0.0
58,0.0,0.0,266.0,297.5,269.25,0.0,218.5
59,0.0,0.0,289.0,0.0,225.5,271.25,0.0
60,229.0,0.0,0.0,0.0,245.5,0.0,0.0
61,226.5,0.0,0.0,0.0,234.75,0.0,226.25
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,223.5
64,256.75,0.0,320.5,288.25,0.0,0.0,249.0
65,0.0,219.75,0.0,0.0,0.0,280.5,224.25
66,0.0,0.0,0.0,305.5,247.75,297.25,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,263.75
68,255.25,0.0,0.0,229.5,297.0,0.0,0.0
69,295.5,0.0,0.0,0.0,221.0,0.0,0.0
70,268.5,228.5,307.75,296.0,251.75,318.25,267.75
71,0.0,0.0,0.0,305.25,219.5,0.0,0.0
72,254.75,237.0,0.0,277.75,0.0,0.0,219.0
73,0.0,257.25,0.0,0.0,0.0,0.0,0.0
74,286.5,0.0,0.0,0.0,258.5,0.0,249.75
75,0.0,269.25,0.0,0.0,0.0,0.0,243.0
76,0.0,241.25,0.0,331.5,242.75,295.25,268.25
77,0.0,0.0,289.0,0.0,313.0,309.0,0.0
78,0.0,284.5,281.5,0.0,0.0,252.0,249.25
79,0.0,205.75,0.0,0.0,275.5,335.0,0.0
80,232.0,0.0,308.5,0.0,272.75,0.0,0.0
81,0.0,0.0,0.0,229.5,248.5,0.0,240.25
82,225.5,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,219.75,291.0,0.0,260.75,0.0,0.0
84,277.25,0.0,0.0,0.0,276.0,0.0,0.0
85,0.0,0.0,0.0,318.0,234.5,289.5,230.0
86,284.25,0.0,0.0,311.25,203.25,287.5,216.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,230.5,0.0,325.0,287.5,226.75,0.0,0.0
89,250.0,264.5,0.0,286.0,216.25,0.0,0.0
90,0.0,0.0,0.0,0.0,261.75,0.0,220.5
91,267.0,280.0,289.25,273.5,266.25,287.75,0.0
92,0.0,267.25,248.5,0.0,258.0,0.0,295.5
93,0.0,0.0,0.0,274.25,213.25,252.25,0.0
94,252.25,0.0,0.0,0.0,0.0,0.0,0.0
95,218.75,0.0,0.0,0.0,0.0,268.25,278.5
96,0.0,241.0,0.0,264.5,257.25,0.0,0.0
97,0.0,0.0,269.25,0.0,210.5,279.0,301.25
98,0.0,0.0,0.0,327.0,253.5,0.0,240.75
99,222.5,246.75,0.0,272.25,0.0,263.75,0.0
